id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
37;HDLVS_sporadic;small;CGGM;4;0.098130128;1.52E-06;0.007066512;5.515918918;0.64516129;0.526315789;0.579710145;0.526315789;0.023206751
38;HDLVS_sporadic;small;CGGM;4;0.117451769;0.002188112;0.001065349;2.671478109;0.848484848;0.736842105;0.788732394;0.736842105;0.010548523
39;HDLVS_sporadic;small;CGGM;4;0.093098278;2.97E-06;1.45E-07;6.536939595;0.785714286;0.578947368;0.666666667;0.578947368;0.012658228
40;HDLVS_sporadic;small;CGGM;4;0.109993058;3.92E-07;1.97E-08;7.403645964;0.525;0.583333333;0.552631579;0.583333333;0.039915966
41;HDLVS_sporadic;small;CGGM;4;0.092479354;0.207872884;2.59E-10;9.286108431;0.92;0.621621622;0.741935484;0.621621622;0.004210526
42;HDLVS_sporadic;small;CGGM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;HDLVS_sporadic;small;CGGM;4;0.113649842;0.57035126;0.014738757;1.530509131;0.923076923;0.666666667;0.774193548;0.666666667;0.004201681
44;HDLVS_sporadic;small;CGGM;4;0.106756087;0.041515769;0.001269585;2.595308382;0.777777778;0.636363636;0.7;0.636363636;0.012526096
45;HDLVS_sporadic;small;CGGM;4;0.093072791;1.45E-08;4.53E-05;7.537808977;0.806451613;0.641025641;0.714285714;0.641025641;0.012684989
46;HDLVS_sporadic;small;CGGM;4;0.104714368;0.320241313;0.481959088;0.193492646;0.733333333;0.564102564;0.637681159;0.564102564;0.016913319
47;HDLVS_sporadic;small;CGGM;4;0.098680738;6.68E-05;1.76E-11;10.45345379;0.735294118;0.625;0.675675676;0.625;0.019067797
48;HDLVS_sporadic;small;CGGM;4;0.112213937;4.61E-05;0.00070738;4.034930649;0.638888889;0.621621622;0.630136986;0.621621622;0.027368421
49;HDLVS_sporadic;small;CGGM;4;0.106665653;1.40E-06;3.72E-06;5.551401584;0.848484848;0.736842105;0.788732394;0.736842105;0.010548523
50;HDLVS_sporadic;small;CGGM;4;0.104520291;0.414661323;0.36285899;0.139232117;0.617647059;0.583333333;0.6;0.583333333;0.027310924
51;HDLVS_sporadic;small;CGGM;4;0.099293849;0.000256255;0.000229319;3.33852984;0.85;0.5;0.62962963;0.5;0.006276151
52;HDLVS_sporadic;small;CGGM;4;0.103162326;0.028176401;0.01023298;1.68896788;0.666666667;0.55;0.602739726;0.55;0.023305085
53;HDLVS_sporadic;small;CGGM;4;0.090546988;0.008273834;0.00055591;2.953965426;0.95;0.5;0.655172414;0.5;0.002109705
54;HDLVS_sporadic;small;CGGM;4;0.112321131;6.35E-07;0.00033614;5.896114164;0.818181818;0.72972973;0.771428571;0.72972973;0.012631579
55;HDLVS_sporadic;small;CGGM;4;0.110589152;3.92E-09;1.91E-05;8.105842405;0.740740741;0.5;0.597014925;0.5;0.014830508
56;HDLVS_sporadic;small;CGGM;4;0.096100039;1.37E-08;3.36E-06;7.561724484;0.75862069;0.594594595;0.666666667;0.594594595;0.014736842
57;HDLVS_sporadic;small;CGGM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;HDLVS_sporadic;small;CGGM;4;0.088916084;0.006948799;0.002206206;2.355323845;0.766666667;0.621621622;0.686567164;0.621621622;0.014736842
59;HDLVS_sporadic;small;CGGM;4;0.122302675;0.496898132;0.067650017;0.868702093;0.862068966;0.657894737;0.746268657;0.657894737;0.008438819
60;HDLVS_sporadic;small;CGGM;4;0.108298536;0.053386475;3.05E-06;5.214470951;0.8125;0.702702703;0.753623188;0.702702703;0.012631579
61;HDLVS_sporadic;small;CGGM;4;0.109268132;2.89E-05;0.005028302;4.2376336;0.78125;0.657894737;0.714285714;0.657894737;0.014767932
62;HDLVS_sporadic;small;CGGM;4;0.114545185;0.010180311;6.76E-08;6.868965394;0.638888889;0.58974359;0.613333333;0.58974359;0.027484144
63;HDLVS_sporadic;small;CGGM;4;0.097706423;0.001198926;0.005161449;2.620177727;0.75;0.705882353;0.727272727;0.705882353;0.016736402
64;HDLVS_sporadic;small;CGGM;4;0.110122219;1.42E-14;8.18E-09;13.5463498;0.806451613;0.714285714;0.757575758;0.714285714;0.012578616
65;HDLVS_sporadic;small;CGGM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;HDLVS_sporadic;small;CGGM;4;0.106272476;0.265891572;0.004329524;2.062529826;0.821428571;0.621621622;0.707692308;0.621621622;0.010526316
67;HDLVS_sporadic;small;CGGM;4;0.092573027;0.169038226;0.512926292;0.470985078;0.71875;0.605263158;0.657142857;0.605263158;0.018987342
68;HDLVS_sporadic;small;CGGM;4;0.1135861;0.005182339;0.007399813;1.984444176;0.806451613;0.657894737;0.724637681;0.657894737;0.012658228
69;HDLVS_sporadic;small;CGGM;4;0.10566749;0.519520803;0.001426505;2.544696759;0.964285714;0.75;0.84375;0.75;0.00210084
70;HDLVS_sporadic;small;CGGM;4;0.109342044;0.000243588;0.002872105;3.312313995;0.916666667;0.594594595;0.721311475;0.594594595;0.004210526
71;HDLVS_sporadic;small;CGGM;4;0.093188402;0.354212565;0.112508078;0.6477863;0.6875;0.578947368;0.628571429;0.578947368;0.021097046
72;HDLVS_sporadic;small;CGGM;4;0.134976401;0.268867545;1.47E-06;5.532709408;0.92;0.638888889;0.754098361;0.638888889;0.004201681
73;HDLVS_sporadic;small;CGGM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;HDLVS_sporadic;small;CGGM;4;0.106682298;1.66E-06;0.081225465;5.479152123;0.862068966;0.641025641;0.735294118;0.641025641;0.00845666
75;HDLVS_sporadic;small;CGGM;4;0.098622363;3.78E-05;0.006978362;4.121595086;0.92;0.657142857;0.766666667;0.657142857;0.004192872
76;HDLVS_sporadic;small;CGGM;4;0.119107359;0.006624635;8.13E-06;4.788823097;0.790697674;0.871794872;0.829268293;0.871794872;0.019027484
77;HDLVS_sporadic;small;CGGM;4;0.096391545;0.027663906;0.000861044;2.763944468;0.818181818;0.692307692;0.75;0.692307692;0.012684989
78;HDLVS_sporadic;small;CGGM;4;0.118740402;0.070369985;5.89E-07;5.928742481;0.710526316;0.675;0.692307692;0.675;0.023305085
79;HDLVS_sporadic;small;CGGM;4;0.107093915;9.55E-08;0.001705985;6.719004664;0.862068966;0.735294118;0.793650794;0.735294118;0.008368201
80;HDLVS_sporadic;small;CGGM;4;0.103993947;0.010139772;0.538331544;1.6929418;0.821428571;0.605263158;0.696969697;0.605263158;0.010548523
81;HDLVS_sporadic;small;CGGM;4;0.095390053;0.96843541;0.044835442;1.047348551;0.862068966;0.735294118;0.793650794;0.735294118;0.008368201
82;HDLVS_sporadic;small;CGGM;4;0.097795196;0.007409433;0.00095888;2.717205713;0.774193548;0.6;0.676056338;0.6;0.014830508
83;HDLVS_sporadic;small;CGGM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;HDLVS_sporadic;small;CGGM;4;0.09768475;0.004606465;6.17E-07;5.90835316;0.862068966;0.657894737;0.746268657;0.657894737;0.008438819
85;HDLVS_sporadic;small;CGGM;4;0.108908699;8.78E-08;2.11E-06;6.755517915;0.8;0.526315789;0.634920635;0.526315789;0.010548523
86;HDLVS_sporadic;small;CGGM;4;0.114549617;0.001678501;3.59E-07;6.144074433;0.511111111;0.638888889;0.567901235;0.638888889;0.046218487
87;HDLVS_sporadic;small;CGGM;4;0.118860071;0.498156321;0.157582422;0.501462234;0.88;0.611111111;0.721311475;0.611111111;0.006302521
88;HDLVS_sporadic;small;CGGM;4;0.138038555;0.000490899;2.03E-06;5.3919717;0.78125;0.714285714;0.746268657;0.714285714;0.014675052
89;HDLVS_sporadic;small;CGGM;4;0.117927394;0.000732543;0.001732303;2.83413705;0.90625;0.743589744;0.816901408;0.743589744;0.006342495
90;HDLVS_sporadic;small;CGGM;4;0.097353794;0.002167172;0.022835265;2.363076593;0.705882353;0.615384615;0.657534247;0.615384615;0.021141649
91;HDLVS_sporadic;small;CGGM;4;0.086219678;1.90E-05;0.046959332;4.420818459;0.904761905;0.513513514;0.655172414;0.513513514;0.004210526
