id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
1;HDLVS_sporadic;small;CGGM;11;0.08467481;6.02E-06;9.33E-14;12.72928051;0.54166667;0.787878788;0.64197531;0.787878788;0.04592902
2;HDLVS_sporadic;small;CGGM;9;0.102451871;0.4384631;6.96E-09;7.856216274;0.62222222;0.736842105;0.6746988;0.736842105;0.03586498
3;HDLVS_sporadic;small;CGGM;12;0.085811003;9.70E-08;4.73E-11;10.02386277;0.84848485;0.736842105;0.78873239;0.736842105;0.01054852
4;HDLVS_sporadic;small;CGGM;12;0.09880323;2.74E-08;2.12E-05;7.260603941;0.6744186;0.783783784;0.725;0.783783784;0.02947368
5;HDLVS_sporadic;small;CGGM;12;0.098320335;0.001187961;1.44E-08;7.540685029;0.625;0.789473684;0.69767442;0.789473684;0.03797468
6;HDLVS_sporadic;small;CGGM;11;0.102867217;5.37E-11;1.55E-15;14.5074318;0.59183673;0.805555556;0.68235294;0.805555556;0.04201681
7;HDLVS_sporadic;small;CGGM;12;0.106782879;0.001793057;6.66E-13;11.87519142;0.53846154;0.777777778;0.63636364;0.777777778;0.05042017
8;HDLVS_sporadic;small;CGGM;12;0.135570122;9.68E-11;6.66E-15;13.87540853;0.62745098;0.864864865;0.72727273;0.864864865;0.04
9;HDLVS_sporadic;small;CGGM;11;0.088093965;1.87E-11;2.99E-13;12.2226789;0.77142857;0.710526316;0.73972603;0.710526316;0.01687764
10;HDLVS_sporadic;small;CGGM;13;0.117826703;1.11E-16;1.11E-16;15.65355978;0.725;0.783783784;0.75324675;0.783783784;0.02315789
11;HDLVS_sporadic;small;CGGM;11;0.097428225;2.29E-10;2.22E-09;9.338840667;0.78947368;0.810810811;0.8;0.810810811;0.01684211
12;HDLVS_sporadic;small;CGGM;12;0.100593272;3.10E-14;1.35E-14;13.56719997;0.65853659;0.72972973;0.69230769;0.72972973;0.02947368
13;HDLVS_sporadic;small;CGGM;11;0.09039957;1.68E-06;6.66E-15;13.87540853;0.58536585;0.685714286;0.63157895;0.685714286;0.03563941
14;HDLVS_sporadic;small;CGGM;10;0.093792891;5.76E-13;6.57E-13;11.93889479;0.70588235;0.648648649;0.67605634;0.648648649;0.02105263
15;HDLVS_sporadic;small;CGGM;12;0.125506854;2.78E-14;5.01E-14;13.2556197;0.42592593;0.638888889;0.51111111;0.638888889;0.06512605
16;HDLVS_sporadic;small;CGGM;13;0.12454275;3.55E-14;1.42E-14;13.54634995;0.64583333;0.794871795;0.71264368;0.794871795;0.0359408
17;HDLVS_sporadic;small;CGGM;14;0.124581684;5.87E-09;3.88E-06;7.930284629;0.56862745;0.783783784;0.65909091;0.783783784;0.04631579
18;HDLVS_sporadic;small;CGGM;11;0.109400635;2.68E-07;3.01E-14;13.22059054;0.62264151;0.868421053;0.72527473;0.868421053;0.04219409
19;HDLVS_sporadic;small;CGGM;12;0.130754566;2.00E-13;3.36E-11;12.39828737;0.64583333;0.794871795;0.71264368;0.794871795;0.0359408
20;HDLVS_sporadic;small;CGGM;11;0.102355339;5.28E-09;1.66E-10;9.478718832;0.60416667;0.828571429;0.69879518;0.828571429;0.03983229
21;HDLVS_sporadic;small;CGGM;12;0.104816521;6.86E-12;1.75E-07;10.86243076;0.5;0.621621622;0.55421687;0.621621622;0.04842105
22;HDLVS_sporadic;small;CGGM;12;0.118763009;1.26E-10;5.14E-12;10.98842922;0.66666667;0.685714286;0.67605634;0.685714286;0.02515723
23;HDLVS_sporadic;small;CGGM;10;0.112872186;3.52E-08;1.09E-12;11.6597709;0.50980392;0.702702703;0.59090909;0.702702703;0.05263158
24;HDLVS_sporadic;small;CGGM;13;0.126789286;0.000790389;7.19E-09;7.842181138;0.76923077;0.789473684;0.77922078;0.789473684;0.01898734
25;HDLVS_sporadic;small;CGGM;11;0.10088723;2.85E-10;1.04E-11;10.68303171;0.90322581;0.717948718;0.8;0.717948718;0.006342495
26;HDLVS_sporadic;small;CGGM;10;0.1128783;3.19E-05;3.74E-09;8.12602769;0.66666667;0.717948718;0.69135802;0.717948718;0.02959831
27;HDLVS_sporadic;small;CGGM;10;0.108337006;3.44E-15;1.33E-13;14.16219813;0.55102041;0.75;0.63529412;0.75;0.04621849
28;HDLVS_sporadic;small;CGGM;11;0.109795263;3.37E-06;1.43E-07;6.543345545;0.75675676;0.777777778;0.76712329;0.777777778;0.01890756
29;HDLVS_sporadic;small;CGGM;12;0.117190554;9.99E-16;2.48E-12;14.69931727;0.75555556;0.85;0.8;0.85;0.02330508
30;HDLVS_sporadic;small;CGGM;11;0.093348833;0.002475248;2.54E-12;11.2939139;0.68571429;0.666666667;0.67605634;0.666666667;0.02310924
31;HDLVS_sporadic;small;CGGM;13;0.116947208;0.000141222;2.55E-13;12.2929663;0.68181818;0.789473684;0.73170732;0.789473684;0.02953586
32;HDLVS_sporadic;small;CGGM;13;0.098057161;8.67E-05;0.1880318;3.760702523;0.77777778;0.777777778;0.77777778;0.777777778;0.01680672
33;HDLVS_sporadic;small;CGGM;13;0.086958234;4.02E-08;1.14E-13;12.64072244;0.90322581;0.736842105;0.8115942;0.736842105;0.006329114
34;HDLVS_sporadic;small;CGGM;12;0.114366641;3.00E-15;1.39E-13;14.22219603;0.59090909;0.742857143;0.65822785;0.742857143;0.03773585
35;HDLVS_sporadic;small;CGGM;12;0.12268075;4.77E-15;1.29E-09;14.02009132;0.68421053;0.742857143;0.71232877;0.742857143;0.02515723
