id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
43;1LV_all;small;CGGM;1;0.079382021;1.03E-13;4.00E-10;12.68613278;1;0.610887097;0.75844806;0.610887097;0
44;1LV_all;small;CGGM;1;0.085954266;3.33E-15;7.34E-06;14.17652577;1;0.558467742;0.716688228;0.558467742;0
45;1LV_all;small;CGGM;1;0.090383093;1.16E-08;1.62E-13;12.48945499;1;0.558467742;0.716688228;0.558467742;0
46;1LV_all;small;CGGM;1;0.072338655;0.000958447;1.73E-06;5.460923901;1;0.655241935;0.791717418;0.655241935;0
47;1LV_all;small;CGGM;1;0.0728854;1.21E-09;1.02E-11;10.69036983;1;0.659274194;0.794653706;0.659274194;0
48;1LV_all;small;CGGM;1;0.081709676;9.10E-15;4.94E-09;13.73992861;1;0.560483871;0.718346253;0.560483871;0
49;1LV_all;small;CGGM;1;0.082307339;6.56E-07;0.001108863;5.882066165;1;0.689516129;0.816229117;0.689516129;0
50;1LV_all;small;CGGM;1;0.079787498;1.42E-14;0.00089427;13.54668166;1;0.627016129;0.770755886;0.627016129;0
51;1LV_all;small;CGGM;1;0.093861548;1.58E-09;1.08E-14;13.66554625;1;0.540322581;0.701570681;0.540322581;0
52;1LV_all;small;CGGM;1;0.087228497;6.85E-11;3.31E-14;13.17914201;1;0.502016129;0.668456376;0.502016129;0
53;1LV_all;small;CGGM;1;0.085734015;2.91E-12;1.73E-11;11.23507702;1;0.64516129;0.784313725;0.64516129;0
54;1LV_all;small;CGGM;1;0.080811929;7.30E-11;0.000831802;9.835647144;1;0.538306452;0.699868938;0.538306452;0
55;1LV_all;small;CGGM;1;0.113265361;5.55E-16;2.55E-15;14.95467702;1;0.451612903;0.622222222;0.451612903;0
56;1LV_all;small;CGGM;1;0.080285965;1.30E-07;1.14E-08;7.642065153;1;0.631048387;0.773794808;0.631048387;0
57;1LV_all;small;CGGM;1;0.074039667;3.99E-08;5.85E-13;11.93181414;1;0.679435484;0.809123649;0.679435484;0
58;1LV_all;small;CGGM;1;0.071350585;9.58E-13;3.33E-15;14.17652577;1;0.614919355;0.761548065;0.614919355;0
59;1LV_all;small;CGGM;1;0.094508993;3.32E-11;2.84E-14;13.24565166;1;0.540322581;0.701570681;0.540322581;0
60;1LV_all;small;CGGM;1;0.071766337;8.98E-08;2.62E-13;12.28066871;1;0.633064516;0.775308642;0.633064516;0
61;1LV_all;small;CGGM;1;0.0840103;0.017489808;4.57E-07;6.039053804;1;0.669354839;0.801932367;0.669354839;0
62;1LV_all;small;CGGM;1;0.070317046;3.55E-15;2.66E-13;14.14874165;1;0.659274194;0.794653706;0.659274194;0
63;1LV_all;small;CGGM;1;0.094172239;7.62E-10;6.81E-10;8.865822892;1;0.495967742;0.663072776;0.495967742;0
64;1LV_all;small;CGGM;1;0.09019148;3.66E-15;2.12E-10;14.13548892;1;0.594758065;0.745891277;0.594758065;0
65;1LV_all;small;CGGM;1;0.085968808;9.14E-05;5.36E-08;6.969805215;1;0.614919355;0.761548065;0.614919355;0
66;1LV_all;small;CGGM;1;0.06988;1.23E-05;3.80E-12;11.11918641;1;0.641129032;0.781326781;0.641129032;0
67;1LV_all;small;CGGM;1;0.084150021;8.34E-11;6.68E-10;9.777803954;1;0.536290323;0.69816273;0.536290323;0
68;1LV_all;small;CGGM;1;0.081507186;5.44E-10;1.21E-11;10.61618463;1;0.610887097;0.75844806;0.610887097;0
69;1LV_all;small;CGGM;1;0.074729222;3.04E-08;3.44E-15;14.16241156;1;0.673387097;0.804819277;0.673387097;0
70;1LV_all;small;CGGM;1;0.079826138;2.22E-16;7.85E-14;15.35261703;1;0.620967742;0.766169154;0.620967742;0
71;1LV_all;small;CGGM;1;0.086611041;5.33E-14;1.81E-11;12.9722428;1;0.548387097;0.708333333;0.548387097;0
72;1LV_all;small;CGGM;1;0.08099856;2.50E-09;4.30E-11;10.06550155;1;0.697580645;0.821852732;0.697580645;0
73;1LV_all;small;CGGM;1;0.084532907;9.25E-11;3.06E-13;12.21324858;1;0.691532258;0.817640048;0.691532258;0
74;1LV_all;small;CGGM;1;0.081915251;3.20E-14;2.22E-15;14.35261703;1;0.598790323;0.749054224;0.598790323;0
75;1LV_all;small;CGGM;1;0.080911067;0.001044129;0.000110948;3.653850526;1;0.663306452;0.797575758;0.663306452;0
76;1LV_all;small;CGGM;1;0.073893686;1.72E-14;1.11E-16;15.65364703;1;0.725806452;0.841121495;0.725806452;0
77;1LV_all;small;CGGM;1;0.083792018;1.25E-08;3.48E-11;10.15739076;1;0.580645161;0.734693878;0.580645161;0
78;1LV_all;small;CGGM;1;0.077200383;1.15E-05;1.00E-09;8.698970004;1;0.629032258;0.772277228;0.629032258;0
79;1LV_all;small;CGGM;1;0.077062904;0.000279144;2.00E-14;13.39794001;1;0.681451613;0.810551559;0.681451613;0
80;1LV_all;small;CGGM;1;0.075885029;4.51E-10;1.65E-13;12.48148606;1;0.705645161;0.827423168;0.705645161;0
81;1LV_all;small;CGGM;1;0.091371829;1.07E-05;3.74E-06;5.126098402;1;0.610887097;0.75844806;0.610887097;0
82;1LV_all;small;CGGM;1;0.084515347;3.22E-15;2.66E-14;14.19111413;1;0.608870968;0.756892231;0.608870968;0
83;1LV_all;small;CGGM;1;0.098012785;1.07E-14;9.90E-14;13.66958623;1;0.52016129;0.684350133;0.52016129;0
84;1LV_all;small;CGGM;1;0.093940743;3.52E-13;5.95E-14;12.92445304;1;0.594758065;0.745891277;0.594758065;0
85;1LV_all;small;CGGM;1;0.077830945;1.04E-09;4.82E-14;13.01592297;1;0.651209677;0.788766789;0.651209677;0
86;1LV_all;small;CGGM;1;0.077261017;2.11E-15;9.38E-09;14.37468755;1;0.586693548;0.739517154;0.586693548;0
87;1LV_all;small;CGGM;1;0.078178555;1.27E-06;8.20E-11;9.785156152;1;0.625;0.769230769;0.625;0
88;1LV_all;small;CGGM;1;0.078239559;6.66E-16;6.84E-12;14.87549578;1;0.653225806;0.790243902;0.653225806;0
89;1LV_all;small;CGGM;1;0.080640394;9.61E-08;1.11E-16;15.65364703;1;0.584677419;0.737913486;0.584677419;0
90;1LV_all;small;CGGM;1;0.082307619;9.03E-12;8.88E-16;14.75055704;1;0.566532258;0.723294723;0.566532258;0
91;1LV_all;small;CGGM;1;0.096841196;2.11E-15;3.94E-13;14.37468755;1;0.512096774;0.677333333;0.512096774;0
92;1LV_all;small;CGGM;1;0.080676265;6.22E-15;1.70E-08;13.90517962;1;0.560483871;0.718346253;0.560483871;0
93;1LV_all;small;CGGM;1;0.071148365;2.50E-06;0.000184576;5.301029996;1;0.653225806;0.790243902;0.653225806;0
94;1LV_all;small;CGGM;1;0.095944346;4.59E-10;1.21E-08;9.037157319;1;0.590725806;0.742712294;0.590725806;0
95;1LV_all;small;CGGM;1;0.087322113;6.88E-15;1.14E-13;13.86138157;1;0.633064516;0.775308642;0.633064516;0
96;1LV_all;small;CGGM;1;0.090362595;4.07E-12;7.14E-12;11.0893756;1;0.659274194;0.794653706;0.659274194;0
97;1LV_all;small;CGGM;1;0.084431826;6.70E-13;4.94E-12;11.8728952;1;0.66733871;0.800483676;0.66733871;0
